z (nm) 	 sigma_x_exp (nm) 	 sigma_y_exp (nm) 	 sigma_x_fit (nm) 	 sigma_y_fit (nm)
-900.0	590.6929317223694	361.9232559429242	660.1684900470352	406.4837732999676
-880.0	572.0519300049252	348.94928373417423	640.7028181643634	389.7792671345896
-860.0	562.6590498594031	340.35290132223923	621.6245952155352	373.5693124511592
-840.0	562.6590498594031	340.35290132223923	602.9349342332882	357.8600297191345
-820.0	538.5737329251289	319.46901946758356	584.6349895942516	342.65809992091647
-800.0	534.6143471748104	314.6230113358224	566.7259559093168	327.9707960625066
-780.0	521.8187835037756	295.6089412243442	549.2090662364418	313.8060080732371
-760.0	513.0202784161279	289.2417783590059	532.0855894772166	300.1722573490436
-740.0	513.0202784161279	289.2417783590059	515.3568267971027	287.078696081328
-720.0	508.6910784054662	271.872299364598	499.0241068856222	274.5350852244934
-700.0	497.9758144731184	263.1740712567264	483.0887798470925	262.5517435370033
-680.0	491.9394515966432	251.56073063059728	467.55220948504007	251.1394586872331
-660.0	490.9949314164909	249.33585729120972	452.4157637146825	240.30935013190876
-640.0	490.9949314164909	249.33585729120972	437.6808028086335	230.07267264452918
-620.0	464.12888074402156	236.85207207662899	423.3486651523919	220.44054941313084
-600.0	439.8151049849765	218.28502157280892	409.42065015982666	211.4236250843062
-580.0	412.56188779304904	203.43516875424154	395.89799797687726	203.03163262629366
-560.0	404.80624639520875	197.9993877623618	382.7818655868593	195.27287400984633
-540.0	404.80624639520875	197.9993877623618	370.07329892656173	188.15362382696352
-520.0	370.98159182897183	178.65135253121943	357.77320063303904	181.677476950332
-500.0	348.75665359965933	171.4087359571437	345.8822930716782	175.8446752476696
-480.0	325.6153729968051	164.0903272921944	334.40107635252116	170.65146226494633
-460.0	314.63462304651927	160.78833155617656	323.32978113019914	166.0895257823173
-440.0	314.63462304651927	160.78833155617656	312.66831610963345	162.14559283231102
-420.0	291.9790372384739	157.79359872633677	302.416210350879	158.80123716976496
-400.0	281.61926002336696	155.70103579932336	292.57255068704353	156.03294388336928
-380.0	270.52519925245855	153.71047374697332	283.13591484177977	153.812450951407
-360.0	267.44008087258976	153.15105352284849	274.10430115676	152.10735694125614
-340.0	267.44008087258976	153.15105352284849	265.47505620940854	150.88195356732484
-320.0	254.0377229199265	152.41268624211438	257.2448020055494	150.09821759034688
-300.0	245.74233177021935	152.44975269725361	249.4093648520605	149.7168831198899
-280.0	234.26269882923356	152.30227591406089	241.96370842503808	149.69851445492625
-260.0	229.5441654115666	152.30928771726087	234.90187391618988	150.00450976852397
-240.0	229.5441654115666	152.30928771726087	228.21693042545976	150.59798358212785
-220.0	218.83084660026927	153.06698586009344	221.90093893001242	151.4444966128023
-200.0	213.58848273590704	153.28690625368318	215.94493315939198	152.51262122042547
-180.0	206.62912756054584	155.10891183403393	210.3389205120166	153.7743466256261
-160.0	203.90540310668615	156.1794247443821	205.0719057406756	155.20533909751018
-140.0	203.90540310668615	156.1794247443821	200.13193951444754	156.78507844565675
-120.0	197.00156639166408	157.28714700528712	195.50619315382676	158.49689419791383
-100.0	192.29213474535266	158.55700983201734	191.18105988015503	160.32792393834973
-80.0	189.72248553118015	159.9398874804562	187.1422818852696	162.26901354984386
-60.0	185.95301813640478	160.10335003625718	183.37510149196527	164.31457549636525
-40.0	185.95301813640478	160.10335003625718	179.86443372436747	166.46241748052148
-20.0	177.90817401011492	166.2951618180418	176.59505681732023	168.71355026986552
0.0	172.4892237989903	169.43950739598046	173.55181662646362	171.07198045386997
20.0	166.26338934935634	174.9446281217095	170.71984059200398	173.54449148763592
40.0	165.00581007558384	177.2088534794289	168.08475686604362	176.1404146250822
60.0	165.00581007558384	177.2088534794289	165.63291441278722	178.87139021849734
80.0	161.49755430469926	181.55568682884015	163.35160028409618	181.75111930925902
100.0	158.7334248528297	186.7576401519999	161.2292507917165	184.79510538626374
120.0	156.8005763928063	192.75281981406084	159.25565386337456	188.0203865625184
140.0	155.5196188762035	195.19894694048102	157.42214040208071	191.4452591235473
160.0	155.5196188762035	195.19894694048102	155.72176289116658	195.08899432894978
180.0	153.70610320847786	202.13045532227855	154.1494597380511	198.97155138445981
200.0	152.61340939185996	204.97472055069758	152.70220387953057	203.11329052238656
220.0	150.9214590291082	207.71511265514152	151.37913395152626	207.53469100920853
240.0	150.74535011422685	211.52624876136878	150.1816658495727	212.25607952656827
260.0	150.74535011422685	211.52624876136878	149.1135817910192	217.2973746550312
280.0	150.01872249846156	216.20145353289257	148.18109308394756	222.67785307258254
300.0	149.37254331987356	219.58497050118234	147.3928717948058	228.41594254925624
320.0	148.63221787601313	226.43341353519506	146.76004551200344	234.52904590948293
340.0	148.21429725145225	226.87253959601202	146.29614859721747	241.03339892160358
360.0	148.21429725145225	226.87253959601202	146.01702291521505	247.94396366906773
380.0	146.55882190951124	232.3456739541617	145.9406612843973	255.27435748708376
400.0	146.95501517388314	238.9880000647709	146.08698804717844	263.0368161390147
420.0	146.7069648392352	242.0495150475659	146.4775734343807	271.2421886696506
440.0	146.27782300055887	244.8036781180951	147.13528189967295	279.8999603903309
460.0	146.27782300055887	244.8036781180951	148.08385926085347	289.0182997713633
480.0	147.71110905811346	274.7115926451854	149.34746899719403	298.60412465215194
500.0	148.68882096729976	298.65515936121693	150.95019384218568	308.6631831093879
520.0	153.05627255840747	333.87891939232594	152.91552407428935	319.2001445055638
540.0	155.1753177810593	353.77885608360225	155.26585772497398	330.21869661681603
560.0	155.1753177810593	353.77885608360225	158.0220394451261	341.721645248514
580.0	161.84044967013597	385.05926341984224	161.2029634383708	353.71101332949274
600.0	165.98516219254128	403.78883728937984	164.82526159461378	366.1881370795807
620.0	170.0769896581721	419.6118160839222	168.90309120043472	379.1537574291523
640.0	174.03424931629314	429.33129770109514	173.44802830876233	392.60810540461705
660.0	174.03424931629314	429.33129770109514	178.46906424230642	406.550980661929
680.0	182.79375460628543	447.33981523074164	183.97269500912986	420.9818227427447
700.0	191.25004280553247	459.5299026336238	189.96308758745718	435.8997749435963
720.0	202.59255120937604	484.4765659513921	196.44230361838473	451.30374093147486
740.0	205.9878518056182	488.9208681633184	203.4105600815425	467.1924344170169
760.0	205.9878518056182	488.9208681633184	210.8665076748081	483.5644223182603
780.0	226.8568687304814	522.0715270654166	218.80751028490883	500.418161923435
800.0	234.21603428096537	534.2956608001864	227.22991245397932	517.7520325999341
820.0	250.16340110754265	547.3098425052466	236.1292855102338	535.5643626070568
840.0	256.88917869502717	557.7786639733085	245.50064657364646	553.853451559805
860.0	256.88917869502717	557.7786639733085	255.33864767530932	572.6175890662072
880.0	258.13367984387054	567.7111643224805	265.63773460503376	591.8550700263777
